LocationID,zone_latitude,zone_longitude
1,40.69183016020959,-74.17400156582248
2,40.61674619937379,-73.83129979354713
3,40.86447372906584,-73.8474217852696
4,40.72375208451233,-73.97696827424141
5,40.55265878064343,-74.18848459794721
6,40.600324409468406,-74.07177024696533
7,40.761492617043125,-73.91969433569462
8,40.77855862576789,-73.92308626324494
9,40.75103435668664,-73.78794875477833
10,40.67895308442328,-73.79098676199028
11,40.60427268170344,-74.00748784386448
12,40.70294582144012,-74.01556349991374
13,40.712037924667264,-74.01607927269924
14,40.62483367229869,-74.0298925099
15,40.7833330046879,-73.78597285841018
16,40.76273753216493,-73.77342112932584
17,40.69150702161197,-73.94990480444068
18,40.86768222238494,-73.89018381164814
19,40.73548651046706,-73.72665540152784
20,40.857779440562844,-73.88586744911127
21,40.60142907301775,-73.98353783537917
22,40.61221766982795,-73.99525864587314
23,40.60644824321443,-74.17088508711593
24,40.80197051563418,-73.96547935663406
25,40.68563370139058,-73.98611374739605
26,40.630949253264255,-73.98866057160336
27,40.559134755628214,-73.90691199328067
28,40.71159648931973,-73.80872922918115
29,40.580921751571346,-73.96121662082737
30,40.60368693988757,-73.82192752206782
31,40.85774566451417,-73.87547602176667
32,40.864002036456434,-73.86490091353166
33,40.6957980847225,-73.99525009947318
34,40.70085574405344,-73.97118860464191
35,40.664002936640344,-73.91025776959916
36,40.70052207677384,-73.91770956300488
37,40.69499398960586,-73.92223688327465
38,40.69434123971375,-73.73555411751046
39,40.63803689672939,-73.8997346848635
40,40.67919897887253,-73.99595622535054
41,40.804333857858566,-73.95129204385638
42,40.8182572500734,-73.94077208625764
43,40.78247701262984,-73.96555540550199
44,40.52549110546785,-74.23353546082052
45,40.712459285136994,-73.99815145865519
46,40.849085690707966,-73.78198762631824
47,40.84274838600792,-73.90031694602852
48,40.76225259858687,-73.98984489812494
49,40.687967206026975,-73.96236337094902
50,40.76623762332451,-73.99513534858681
51,40.87397243195906,-73.82826339600581
52,40.6866511779156,-73.99672407074303
